src_node_id,edge_type,dst_node_id,evidence_ref
ASSET::STS-PLANT,PARENT_OF,ASSET::STS-U1,asset_hierarchy.csv
ASSET::STS-PLANT,PARENT_OF,ASSET::STS-U2,asset_hierarchy.csv
ASSET::STS-U1,PARENT_OF,ASSET::STS-U1-BOILER,asset_hierarchy.csv
ASSET::STS-U1,PARENT_OF,ASSET::STS-U1-TURBINE,asset_hierarchy.csv
ASSET::STS-U1,PARENT_OF,ASSET::STS-U1-GENERATOR,asset_hierarchy.csv
ASSET::STS-U1,PARENT_OF,ASSET::STS-U1-COOLING,asset_hierarchy.csv
ASSET::STS-U1,PARENT_OF,ASSET::STS-U1-ELECTRICAL,asset_hierarchy.csv
ASSET::STS-U1,PARENT_OF,ASSET::STS-U1-CONTROLS,asset_hierarchy.csv
ASSET::STS-U1-BOILER,PARENT_OF,ASSET::STS-U1-BOI-FURNACE,asset_hierarchy.csv
ASSET::STS-U1-BOILER,PARENT_OF,ASSET::STS-U1-BOI-IDFANS,asset_hierarchy.csv
ASSET::STS-U1-BOILER,PARENT_OF,ASSET::STS-U1-BOI-FDPAFANS,asset_hierarchy.csv
ASSET::STS-U1-BOILER,PARENT_OF,ASSET::STS-U1-BOI-DAMPERS,asset_hierarchy.csv
ASSET::STS-U1-BOILER,PARENT_OF,ASSET::STS-U1-BOI-MILLS,asset_hierarchy.csv
ASSET::STS-U1-BOILER,PARENT_OF,ASSET::STS-U1-BOI-APH,asset_hierarchy.csv
ASSET::STS-U1-BOILER,PARENT_OF,ASSET::STS-U1-BOI-SH,asset_hierarchy.csv
ASSET::STS-U1-BOILER,PARENT_OF,ASSET::STS-U1-BOI-ECO,asset_hierarchy.csv
ASSET::STS-U1-TURBINE,PARENT_OF,ASSET::STS-U1-TUR-HP,asset_hierarchy.csv
ASSET::STS-U1-TURBINE,PARENT_OF,ASSET::STS-U1-TUR-IP,asset_hierarchy.csv
ASSET::STS-U1-TURBINE,PARENT_OF,ASSET::STS-U1-TUR-LP,asset_hierarchy.csv
ASSET::STS-U1-TURBINE,PARENT_OF,ASSET::STS-U1-TUR-BRG,asset_hierarchy.csv
ASSET::STS-U1-TURBINE,PARENT_OF,ASSET::STS-U1-TUR-CV,asset_hierarchy.csv
ASSET::STS-U1-GENERATOR,PARENT_OF,ASSET::STS-U1-GEN-ROTOR,asset_hierarchy.csv
ASSET::STS-U1-GENERATOR,PARENT_OF,ASSET::STS-U1-GEN-STATOR,asset_hierarchy.csv
ASSET::STS-U1-GENERATOR,PARENT_OF,ASSET::STS-U1-GEN-H2,asset_hierarchy.csv
ASSET::STS-U1-COOLING,PARENT_OF,ASSET::STS-U1-COL-CT,asset_hierarchy.csv
ASSET::STS-U1-COOLING,PARENT_OF,ASSET::STS-U1-COL-CND,asset_hierarchy.csv
ASSET::STS-U1-COOLING,PARENT_OF,ASSET::STS-U1-COL-CWP,asset_hierarchy.csv
ASSET::STS-U1-ELECTRICAL,PARENT_OF,ASSET::STS-U1-ELC-XFMR,asset_hierarchy.csv
ASSET::STS-U1-ELECTRICAL,PARENT_OF,ASSET::STS-U1-ELC-SWYD,asset_hierarchy.csv
ASSET::STS-U1-CONTROLS,PARENT_OF,ASSET::STS-U1-CTL-DCS,asset_hierarchy.csv
ASSET::STS-U1-CONTROLS,PARENT_OF,ASSET::STS-U1-CTL-INST,asset_hierarchy.csv
ASSET::STS-U1-BOI-IDFANS,PARENT_OF,ASSET::STS-U1-IDF-A,asset_hierarchy.csv
ASSET::STS-U1-BOI-IDFANS,PARENT_OF,ASSET::STS-U1-IDF-B,asset_hierarchy.csv
ASSET::STS-U1-BOI-DAMPERS,PARENT_OF,ASSET::STS-U1-DAMPER-FG,asset_hierarchy.csv
ASSET::STS-U1-BOI-APH,PARENT_OF,ASSET::STS-U1-APH-1,asset_hierarchy.csv
ASSET::STS-U1-BOI-SH,PARENT_OF,ASSET::STS-U1-SH-OUT,asset_hierarchy.csv
ASSET::STS-U1-BOI-ECO,PARENT_OF,ASSET::STS-U1-ECO-IN,asset_hierarchy.csv
