date,unit_id,actual_total_revenue,revenue_target,total_revenue_loss,revenue_capture_ratio
2023-01-01,STS-U1,793472.722,806577.8130000001,13105.091000000131,0.9837522297430216
2023-01-02,STS-U1,868396.236,881934.32,13538.083999999915,0.9846495553092888
2023-01-03,STS-U1,872579.314,887082.474,14503.160000000033,0.983650719718762
2023-01-04,STS-U1,869351.442,883262.858,13911.415999999968,0.9842499705789736
2023-01-05,STS-U1,866477.505,880497.9,14020.39500000002,0.9840767422613956
2023-01-06,STS-U1,859162.3859999999,873917.975,14755.589000000036,0.9831155904534404
2023-01-07,STS-U1,791903.001,804788.2139999999,12885.212999999872,0.983989312000536
2023-01-08,STS-U1,796353.175,809545.889,13192.71399999992,0.9837035624795818
2023-01-09,STS-U1,869915.6619999999,884137.634,14221.972000000069,0.9839143008361072
2023-01-10,STS-U1,868756.625,882612.757,13856.131999999983,0.9843010064265364
2023-01-11,STS-U1,875192.351,889625.751,14433.400000000023,0.983775874311444
2023-01-12,STS-U1,871312.6740000001,885533.916,14221.241999999853,0.9839404886215564
2023-01-13,STS-U1,862843.583,877340.715,14497.131999999983,0.9834760524022872
2023-01-14,STS-U1,791339.2390000001,804632.726,13293.486999999965,0.983478813910435
2023-01-15,STS-U1,790150.695,802989.798,12839.103000000005,0.9840108765615974
2023-01-16,STS-U1,874282.3160000001,888548.921,14266.604999999863,0.98394392850768
2023-01-17,STS-U1,867509.103,880887.068,13377.964999999967,0.9848130759481192
2023-01-18,STS-U1,869638.4,883928.972,14290.571999999927,0.9838328955688987
2023-01-19,STS-U1,866680.152,881321.816,14641.66399999999,0.9833866996888228
2023-01-20,STS-U1,867990.6840000001,882646.728,14656.043999999878,0.9833953454592086
2023-01-21,STS-U1,791273.793,804126.0989999999,12852.305999999982,0.9840170515346002
2023-01-22,STS-U1,784716.369,798312.431,13596.062000000034,0.9829689962575566
2023-01-23,STS-U1,871662.281,885425.113,13762.832000000051,0.9844562439014534
2023-01-24,STS-U1,869670.3960000001,884134.522,14464.125999999933,0.9836403560317036
2023-01-25,STS-U1,868271.176,882810.451,14539.275000000023,0.9835306945182504
2023-01-26,STS-U1,865834.4969999999,880134.467,14299.970000000088,0.9837525167617368
2023-01-27,STS-U1,860859.338,876066.15,15206.812000000034,0.982641936342364
2023-01-28,STS-U1,800910.192,814405.904,13495.71199999994,0.983428764534104
2023-01-29,STS-U1,792720.5650000001,806022.4890000001,13301.924,0.9834968326795656
2023-01-30,STS-U1,872934.9559999999,887467.921,14532.965000000084,0.9836242362612676
2023-01-31,STS-U1,876124.7309999999,891039.1089999999,14914.378000000026,0.9832618143812584
2023-02-01,STS-U1,865286.712,879890.156,14603.4439999999,0.9834031056031044
2023-02-02,STS-U1,870363.4120000001,885381.17,15017.757999999914,0.9830380874262326
2023-02-03,STS-U1,869681.193,884224.393,14543.20000000007,0.9835525912707996
2023-02-04,STS-U1,790951.856,804621.31,13669.454000000029,0.9830113199462738
2023-02-05,STS-U1,790345.4530000001,803371.181,13025.727999999886,0.9837861647168048
2023-02-06,STS-U1,866705.831,881310.441,14604.609999999986,0.9834285294709224
2023-02-07,STS-U1,864765.1840000001,879358.96,14593.775999999838,0.9834040742588216
2023-02-08,STS-U1,864578.508,878890.314,14311.805999999982,0.9837160499188298
2023-02-09,STS-U1,866929.524,881095.354,14165.830000000076,0.98392247792967
2023-02-10,STS-U1,866360.123,880596.269,14236.14599999995,0.9838335154245356
2023-02-11,STS-U1,788533.9580000001,801635.408,13101.449999999952,0.98365659766366
2023-02-12,STS-U1,789345.452,803351.4739999999,14006.02199999988,0.982565511543457
2023-02-13,STS-U1,875139.1309999999,889942.887,14803.756000000052,0.9833654988244206
2023-02-14,STS-U1,609420.012,884555.296,275135.284,0.6889563770132014
2023-02-15,STS-U1,854698.606,884551.652,29853.045999999973,0.966250646943566
2023-02-16,STS-U1,861202.116,881490.219,20288.103000000003,0.9769843129705787
2023-02-17,STS-U1,860701.507,874896.731,14195.224000000046,0.9837749719515182
2023-02-18,STS-U1,791008.1569999999,803742.6140000001,12734.45700000017,0.9841560509817636
2023-02-19,STS-U1,793942.5059999999,807858.5009999999,13915.994999999995,0.9827742172883318
2023-02-20,STS-U1,872718.435,887605.317,14886.881999999983,0.983228038729741
2023-02-21,STS-U1,866250.962,880566.451,14315.488999999943,0.9837428634900378
2023-02-22,STS-U1,877538.1449999999,892085.478,14547.3330000001,0.9836928933843712
