month,unit_id,net_station_heat_rate,ppa_reference_heat_rate,aux_load_mw,heat_rate_deviation_percent,fuel_cost_impact_usd,restart_count
2023-01-01,STS-U1,9603.212786290323,9241.534239247312,50.68290053763441,3.9199784946236558,414035.89,0
2023-02-01,STS-U1,9689.381372372372,9263.299013392858,50.70016220238095,4.847102102102102,479395.71,48
2023-03-01,STS-U1,9688.938398110662,9250.664157258065,50.781619623655914,4.849224021592443,531223.06,48
2023-04-01,STS-U1,9560.342716666666,9095.948975,55.202666666666666,5.109727777777778,596332.86,0
2023-05-01,STS-U1,9633.47982441701,9144.438537634409,55.28593279569892,5.933275720164609,654333.71,48
2023-06-01,STS-U1,9553.838297222223,9091.9756375,55.28215,5.084148611111111,530856.76,0
2023-07-01,STS-U1,9627.223219086021,9309.26363844086,49.236951612903226,3.421736559139785,306576.88,0
2023-08-01,STS-U1,9620.574630376344,9301.204424731182,49.34774462365591,3.438392473118279,324156.64,0
2023-09-01,STS-U1,9636.785795289854,9842.172933333333,49.25000555555555,3.5455996376811596,264860.35,0
2023-10-01,STS-U1,9607.700404569892,9241.647444892473,50.687336021505374,3.966779569892473,437000.99,0
2023-11-01,STS-U1,9604.859387499999,9240.186669444443,50.724066666666666,3.953269444444444,423069.49,0
2023-12-01,STS-U1,9608.991608870969,9245.67602016129,50.66553091397849,3.9361034946236555,415208.47,0
2024-01-01,STS-U1,9604.310012096774,9238.751549731183,50.76234274193548,3.963475806451613,393345.94,0
2024-02-01,STS-U1,9690.24956998557,9253.020560344827,50.69624999999999,4.843017316017316,421553.3,48
2024-03-01,STS-U1,9678.321360054348,9269.940688172044,50.64749059139785,4.700379076086956,437387.84,48
2024-04-01,STS-U1,9559.506780555555,9091.92215,55.28785138888888,5.146636111111111,561717.91,0
2024-05-01,STS-U1,9562.316030913978,9091.792247311829,55.30349731182796,5.178690860215053,623610.74,0
2024-06-01,STS-U1,9595.24392638889,9103.901955555555,63.58982222222222,5.394551388888889,645232.42,0
2024-07-01,STS-U1,9775.947106182795,9301.723685483872,57.73709543010752,5.108129032258065,548881.7,0
2024-08-01,STS-U1,9770.868303763442,9304.678805107527,57.67909946236559,5.019911290322581,515146.89,0
2024-09-01,STS-U1,9645.7236125,9309.802747222222,50.769487500000004,3.612788888888889,330184.45,0
2024-10-01,STS-U1,9605.489737903226,9238.188641129032,50.74571102150538,3.981493279569892,375441.71,0
2024-11-01,STS-U1,9614.270430555556,9242.434541666667,50.705818055555554,4.028702777777778,366277.69,0
2024-12-01,STS-U1,9609.241575268818,9241.161291666667,50.714934139784944,3.990806451612903,395813.57,0
