timestamp,unit_id,price_usd_mwh,energy_revenue_actual,energy_revenue_potential,energy_revenue_loss
2023-01-05 18:00:00+00:00,STS-U1,55.429,2475.019,2492.474,17.455
2023-01-08 12:50:00+00:00,STS-U1,45.674,1502.222,1550.354,48.132
2023-04-03 17:20:00+00:00,STS-U1,74.608,3229.832,3840.284,610.452
2023-04-16 08:00:00+00:00,STS-U1,56.329,2248.306,2291.412,43.106
2023-04-20 07:15:00+00:00,STS-U1,58.986,2581.742,2640.133,58.391
2023-07-11 09:30:00+00:00,STS-U1,45.369,1487.728,1528.481,40.752
2023-12-11 21:35:00+00:00,STS-U1,54.105,2564.261,2585.132,20.871
2024-03-06 00:50:00+00:00,STS-U1,46.16,1860.762,1880.304,19.541
2024-03-15 10:45:00+00:00,STS-U1,45.829,1502.016,1526.183,24.167
2024-03-31 21:55:00+00:00,STS-U1,57.089,2552.026,2581.085,29.058
2024-05-29 12:10:00+00:00,STS-U1,55.819,2236.97,2286.653,49.683
2024-06-02 03:25:00+00:00,STS-U1,58.952,2522.5,2580.799,58.299
2024-06-06 06:35:00+00:00,STS-U1,41.068,1810.525,1851.979,41.454
2024-07-15 15:10:00+00:00,STS-U1,54.434,1868.505,1929.412,60.907
2024-09-03 16:10:00+00:00,STS-U1,55.646,2299.738,2363.369,63.632
