src_node_id,edge_type,dst_node_id,evidence_ref
ASSET::STS-PLANT,PARENT_OF,ASSET::STS-U1,asset_hierarchy.csv
ASSET::STS-PLANT,PARENT_OF,ASSET::STS-U2,asset_hierarchy.csv
ASSET::STS-U1,PARENT_OF,ASSET::STS-U1-BOILER,asset_hierarchy.csv
ASSET::STS-U1,PARENT_OF,ASSET::STS-U1-TURBINE,asset_hierarchy.csv
ASSET::STS-U1,PARENT_OF,ASSET::STS-U1-GENERATOR,asset_hierarchy.csv
ASSET::STS-U1,PARENT_OF,ASSET::STS-U1-COOLING,asset_hierarchy.csv
ASSET::STS-U1,PARENT_OF,ASSET::STS-U1-ELECTRICAL,asset_hierarchy.csv
ASSET::STS-U1,PARENT_OF,ASSET::STS-U1-CONTROLS,asset_hierarchy.csv
ASSET::STS-U1-BOILER,PARENT_OF,ASSET::STS-U1-BOI-FURNACE,asset_hierarchy.csv
ASSET::STS-U1-BOILER,PARENT_OF,ASSET::STS-U1-BOI-IDFANS,asset_hierarchy.csv
ASSET::STS-U1-BOILER,PARENT_OF,ASSET::STS-U1-BOI-FDPAFANS,asset_hierarchy.csv
ASSET::STS-U1-BOILER,PARENT_OF,ASSET::STS-U1-BOI-DAMPERS,asset_hierarchy.csv
ASSET::STS-U1-BOILER,PARENT_OF,ASSET::STS-U1-BOI-MILLS,asset_hierarchy.csv
ASSET::STS-U1-BOILER,PARENT_OF,ASSET::STS-U1-BOI-APH,asset_hierarchy.csv
ASSET::STS-U1-BOILER,PARENT_OF,ASSET::STS-U1-BOI-SH,asset_hierarchy.csv
